rep,seed,cell,n_models,n_items,true_effect,slope_sd,tau_model,tau_item,rho_model,beta0,beta_x,beta_c,n_obs,realized_corr,overall_self_prop,min_model_n_self,min_model_n_control,min_model_self_prop,max_model_self_prop,median_model_self_prop,corr_model_selfprop_X,min_within_self_ss,median_within_self_ss,total_within_self_ss,rho_model_realized,p_min,p_max,pct_outcome_p_below_05,pct_outcome_p_above_95,converged,singular,warnings,estimate,se,p_value,ci_low,ci_high,rejected_at_05,bias,ci_covers_truth,error,model_intercept_sd,model_slope_sd,model_intercept_slope_corr,item_intercept_sd,model_cov_min_eigenvalue,theta,theta_lower,singular_component,fit_error,singular_bool,model_slope_sd_num,model_intercept_sd_num,item_intercept_sd_num,model_intercept_slope_corr_num,estimate_num,bias_num,se_num,p_value_num,ci_low_num,ci_high_num,slope_zero,model_zero,item_zero,corr_finite,corr_boundary
4,92622004,P5_C_50x100,50,100,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,5000,-2.6657262411402467e-19,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,1250.0,0.48924830692888,0.5408028828591156,0.7305910342842594,0.0,0.0,True,False,[],0.157,0.0668,0.0189,0.026,0.288,True,0.057,True,,0.0778,0.2158,-0.6265,0.0687,0.0035,"[0.0687, 0.0778, -0.1352, 0.1682]","[0, 0, '-Inf', 0]",non_singular,,False,0.2158,0.0778,0.0687,-0.6265,0.157,0.057,0.0668,0.0189,0.026,0.288,False,False,False,True,False
4,92622004,P5_D_50x400,50,400,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,20000,-7.526756445572459e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,5000.0,0.48924830692888,0.5359034247548601,0.7305910342842594,0.0,0.0,True,True,[],0.1152,0.0341,0.0007,0.0484,0.182,True,0.0152,True,,0.0088,0.121,1,0.0,2.6512e-10,"[0, 0.0088, 0.121, 0.0002]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,0.121,0.0088,0.0,1.0,0.1152,0.0152,0.0341,0.0007,0.0484,0.182,False,False,True,True,True
4,92622004,P5_E_100x100,100,100,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,10000,-3.4659225107606904e-19,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,2500.0,0.3423712309792656,0.5306441273147259,0.7317421542995166,0.0,0.0,True,True,[],0.0782,0.0427,0.0671,-0.0055,0.1619,False,-0.0218,True,,0.0174,0.0925,-1,0.0518,2.1068e-11,"[0.0518, 0.0174, -0.0925, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,0.0925,0.0174,0.0518,-1.0,0.0782,-0.0218,0.0427,0.0671,-0.0055,0.1619,False,False,False,True,True
4,92622004,P5_F_100x400,100,400,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,40000,1.039776753228207e-18,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,10000.0,0.3423712309792656,0.5276540833370474,0.7317421542995166,0.0,0.0,True,True,[],0.0924,0.0224,0.0,0.0485,0.1363,True,-0.0076,True,,0.0356,0.0823,0.0234,0.0,0.0013,"[0, 0.0356, 0.0019, 0.0823]","[0, 0, '-Inf', 0]",item_intercept_sd_zero,,True,0.0823,0.0356,0.0,0.0234,0.0924,-0.0076,0.0224,0.0,0.0485,0.1363,False,False,True,True,False
5,92622005,P5_A_24x100,24,100,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,2400,-1.3964034906016088e-18,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,600.0,0.22439693653457402,0.5156244386414361,0.7273589734540853,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),-0.0164,0.0881,0.8526,-0.189,0.1563,False,-0.1164,True,,0.1001,0.0958,-1,0.2007,0.0,"[0.2007, 0.1001, -0.0958, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,0.0958,0.1001,0.2007,-1.0,-0.0164,-0.1164,0.0881,0.8526,-0.189,0.1563,False,False,False,True,True
5,92622005,P5_B_24x400,24,400,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,9600,3.4910087265040234e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,2400.0,0.22439693653457402,0.5076730853456399,0.7321201069686172,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),0.094,0.0427,0.0277,0.0103,0.1777,True,-0.006,True,,0.0654,0.0016,-1,0.0,0.0,"[0, 0.0654, -0.0016, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,0.0016,0.0654,0.0,-1.0,0.094,-0.006,0.0427,0.0277,0.0103,0.1777,False,False,True,True,True
5,92622005,P5_C_50x100,50,100,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,5000,5.378111603118362e-19,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,1250.0,0.36392383735171185,0.5156244386414361,0.7273589734540853,0.0,0.0,True,True,boundary (singular) fit: see help('isSingular'),0.0503,0.0639,0.4314,-0.0749,0.1755,False,-0.0497,True,,0.0,0.1777,NaN,0.0979,0.0,"[0.0979, 0, -0.1618, 0.0733]","[0, 0, '-Inf', 0]",model_intercept_sd_zero,,True,0.1777,0.0,0.0979,,0.0503,-0.0497,0.0639,0.4314,-0.0749,0.1755,False,True,False,False,False
5,92622005,P5_D_50x400,50,400,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,20000,4.747864149627929e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,5000.0,0.36392383735171185,0.5076730853456399,0.7321201069686172,0.0,0.0,True,True,[],0.0597,0.0301,0.0474,0.0007,0.1188,True,-0.0403,True,,0.0264,0.0438,1,0.0956,-1.0842e-19,"[0.0956, 0.0264, 0.0438, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,,True,0.0438,0.0264,0.0956,1.0,0.0597,-0.0403,0.0301,0.0474,0.0007,0.1188,False,False,False,True,True
5,92622005,P5_E_100x100,100,100,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,10000,6.737133417760202e-19,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,2500.0,0.35357636431323297,0.5156244386414361,0.7273589734540853,0.0,0.0,True,True,[],0.1069,0.0424,0.0117,0.0238,0.1899,True,0.0069,True,,0.0,0.0825,NaN,0.0744,0.0,"[0.0744, 0, -0.0809, 0.0163]","[0, 0, '-Inf', 0]",model_intercept_sd_zero,,True,0.0825,0.0,0.0744,,0.1069,0.0069,0.0424,0.0117,0.0238,0.1899,False,True,False,False,False
5,92622005,P5_F_100x400,100,400,0.1,0.02,0.03,0.03,0.3,0.5,0.15,0.05,40000,-2.6829292371611417e-20,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,10000.0,0.35357636431323297,0.5076730853456399,0.7321201069686172,0.0,0.0,True,True,[],0.0957,0.0216,9.188e-06,0.0534,0.138,True,-0.0043,True,,0.0,0.0575,NaN,0.0686,0.0,"[0.0686, 0, -0.0575, 0.0003]","[0, 0, '-Inf', 0]",model_intercept_sd_zero,,True,0.0575,0.0,0.0686,,0.0957,-0.0043,0.0216,9.188e-06,0.0534,0.138,False,True,False,False,False
