condition,rep,seed,model_spec,n_models,n_items,target_corr,true_effect,rho_model_true,slope_sd_true,tau_model_true,tau_item_true,fit_error,generated_rows,p_min,p_max,pct_below_low,pct_above_high,near_separation,realized_corr,gamma_x,rho_model_target,rho_model_realized,converged,singular,warnings,r_stderr,estimate,se,p_value,ci_low,ci_high,rejected_at_05,bias,ci_covers_truth,model_intercept_sd,model_slope_sd,model_intercept_slope_corr,item_intercept_sd,model_cov_min_eigenvalue,theta,theta_lower,singular_component_reported,singular_component_reclassified
s0p1_m0p03_i0p03,3,92619003,M1,24,100,0.6,0.1,0.3,0.1,0.03,0.03,,2400,0.08818131015909737,0.9474730778706596,0.0,0.0,False,0.5981647431863538,1.8704745845620199,0.3,0.32244629760298604,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),-0.0959,0.1137,0.3987,-0.3187,0.1268,False,-0.1959,True,0.1293,0.1925,-1.0,4.9556e-08,-1.7347e-18,"[4.9556e-08, 0.1293, -0.1925, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
s0p1_m0p03_i0p15,3,92619003,M1,24,100,0.6,0.1,0.3,0.1,0.03,0.15,,2400,0.08818131015909737,0.9474730778706596,0.0,0.0,False,0.5981647431863538,1.8704745845620199,0.3,0.32244629760298604,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),-0.0519,0.115,0.6517,-0.2774,0.1736,False,-0.1519,True,0.1587,0.2062,-1.0,0.161,0.0,"[0.161, 0.1587, -0.2062, 0]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
s0p1_m0p15_i0p03,3,92619003,M1,24,100,0.6,0.1,0.3,0.1,0.15,0.03,,2400,0.08818131015909737,0.9474730778706596,0.0,0.0,False,0.5981647431863538,1.8704745845620199,0.3,0.32244629760298593,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),-0.0699,0.1176,0.5519,-0.3004,0.1605,False,-0.1699,True,0.2626,0.2304,-0.4773,9.1305e-08,0.0311,"[9.1305e-08, 0.2626, -0.11, 0.2025]","[0, 0, ""-Inf"", 0]",item_intercept_sd_zero,item_intercept_sd_zero
s0p1_m0p15_i0p15,3,92619003,M1,24,100,0.6,0.1,0.3,0.1,0.15,0.15,,2400,0.08818131015909737,0.9474730778706596,0.0,0.0,False,0.5981647431863538,1.8704745845620199,0.3,0.32244629760298593,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),-0.0784,0.1145,0.4935,-0.3029,0.1461,False,-0.1784,True,0.2033,0.2005,-0.6731,1.1319e-07,0.0133,"[1.1319e-07, 0.2033, -0.135, 0.1483]","[0, 0, ""-Inf"", 0]",item_intercept_sd_zero,item_intercept_sd_zero
s0p02_m0p03_i0p03,4,92619004,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.03,,2400,0.08195411317994404,0.9898152115013035,0.0,0.125,True,0.5987084998808012,2.6490047696706895,0.3,0.4246542614116799,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.1869,0.1053,0.076,-0.0195,0.3932,False,0.0869,True,0.0,1.3054e-10,,0.0,0.0,"[0, 0, -1.3054e-10, 0]","[0, 0, ""-Inf"", 0]",model_slope_sd_zero,model_slope_sd_zero
s0p02_m0p03_i0p15,4,92619004,M1,24,100,0.6,0.1,0.3,0.02,0.03,0.15,,2400,0.08195411317994404,0.9898152115013035,0.0,0.125,True,0.5987084998808012,2.6490047696706895,0.3,0.4246542614116799,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.1681,0.1053,0.1103,-0.0383,0.3745,False,0.0681,True,0.0,1.3371e-07,,0.0,0.0,"[0, 0, 1.3371e-07, 0]","[0, 0, ""-Inf"", 0]",model_slope_sd_zero,model_slope_sd_zero
s0p02_m0p15_i0p03,4,92619004,M1,24,100,0.6,0.1,0.3,0.02,0.15,0.03,,2400,0.08195411317994404,0.9898152115013035,0.0,0.125,True,0.5987084998808012,2.6490047696706895,0.3,0.4246542614116799,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.2028,0.1051,0.0536,-0.0032,0.4087,False,0.1028,True,0.0005,0.0288,1.0,0.0,8.6001e-12,"[0, 0.0005, 0.0288, 0.0002]","[0, 0, ""-Inf"", 0]",model_corr_boundary,model_corr_boundary
s0p02_m0p15_i0p15,4,92619004,M1,24,100,0.6,0.1,0.3,0.02,0.15,0.15,,2400,0.08195411317994404,0.9898152115013035,0.0,0.125,True,0.5987084998808012,2.6490047696706895,0.3,0.4246542614116799,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.2435,0.1049,0.0203,0.0378,0.4491,True,0.1435,True,0.0,0.0,1.0,8.3655e-08,-1.2925e-26,"[8.3655e-08, 0, 0, 0]","[0, 0, ""-Inf"", 0]",model_slope_sd_zero,model_slope_sd_zero
s0p1_m0p03_i0p03,4,92619004,M1,24,100,0.6,0.1,0.3,0.1,0.03,0.03,,2400,0.08195411317994404,0.9898152115013035,0.0,0.125,True,0.5987084998808012,2.6490047696706895,0.3,0.42465426141167983,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.1444,0.1049,0.1688,-0.0613,0.3501,False,0.0444,True,9.3233e-07,6.9759e-06,-1.0,0.0,0.0,"[0, 9.3233e-07, -6.9759e-06, 0]","[0, 0, ""-Inf"", 0]",model_slope_sd_zero,model_slope_sd_zero
s0p1_m0p03_i0p15,4,92619004,M1,24,100,0.6,0.1,0.3,0.1,0.03,0.15,,2400,0.08195411317994404,0.9898152115013035,0.0,0.125,True,0.5987084998808012,2.6490047696706895,0.3,0.42465426141167983,True,True,boundary (singular) fit: see help('isSingular'),boundary (singular) fit: see help('isSingular'),0.1424,0.105,0.175,-0.0634,0.3481,False,0.0424,True,0.0,9.1464e-08,,0.0,0.0,"[0, 0, 9.1464e-08, 0]","[0, 0, ""-Inf"", 0]",model_slope_sd_zero,model_slope_sd_zero
