rep,seed,n_rows,n_models,n_items,overall_self_prop,min_model_self_prop,median_model_self_prop,max_model_self_prop,sd_model_self_prop,min_model_n_self,max_model_n_self,min_model_n_control,max_model_n_control,n_models_missing_one_self_level,min_model_self_within_ss,median_model_self_within_ss,corr_is_self_X,corr_is_self_context,corr_X_context,corr_model_selfprop_Xmean,corr_model_selfprop_contextmean,fixed_X_rank,fixed_X_ncols,fixed_X_condition_number,self_within_total_ss,self_within_variance,self_residual_variance_after_X_context,realized_corr,rho_model_realized,near_separation,p_min,p_max
11,92620011,2400,24,100,0.5216666666666666,0.0,0.615,0.95,0.3152868489192806,0,95,5,100,1,0.0,17.955,0.6065008564043578,-0.005503274051866502,-3.838401978370634e-18,0.9815877548254995,,4,4,3.5496675303951073,370.24,0.15426666666666666,0.15773485805039683,0.6065008564043578,0.388694397299562,True,0.030013132674568198,0.9504053412643337
12,92620012,2400,24,100,0.51125,0.06,0.56,0.94,0.3110894251413613,6,94,6,94,0,5.64,15.989999999999995,0.5972141147669036,-0.020312367786593843,-2.445044091447515e-19,0.9802719227168233,,4,4,3.4834068340176354,377.11,0.15712916666666668,0.16064930730418395,0.5972141147669037,0.19943838432690938,False,0.08125700031538659,0.92982452521909
13,92620013,2400,24,100,0.48333333333333334,0.11,0.435,0.92,0.3025926615775401,11,92,8,89,0,7.359999999999996,15.695,0.5862732795691692,0.004265800064688294,3.115449919289188e-18,0.9890357905911925,0.0,4,4,3.3671377949222387,388.74,0.161975,0.16388406519641832,0.5862732795691693,0.26769236717393075,False,0.1021029630335005,0.909733670847419
14,92620014,2400,24,100,0.50875,0.08,0.5900000000000001,0.94,0.3078440104705769,8,94,6,92,0,5.640000000000005,13.775000000000002,0.5961423091646244,0.006043746850491637,-2.882315513192971e-18,0.9889274523089658,,4,4,3.470925142761596,381.85,0.15910416666666669,0.16109510459759885,0.5961423091646243,0.12553367220286346,False,0.09680177774751036,0.9374484620447033
15,92620015,2400,24,100,0.4875,0.04,0.395,0.97,0.32196745717271,4,97,3,96,0,2.910000000000003,16.589999999999996,0.6189400743512105,0.027635055774103124,3.0367639554919432e-18,0.9815503287257361,,4,4,3.5060008214611824,361.20000000000005,0.15050000000000002,0.15394109865611152,0.6189400743512103,0.3961305640257353,False,0.06379386026594103,0.9511664539239506
16,92620016,2400,24,100,0.5054166666666666,0.08,0.425,0.99,0.31545659339890264,8,99,1,92,0,0.9900000000000009,15.99,0.6002422144687327,0.012388281226785012,-6.3098466378722585e-18,0.9717916153774807,1.8724537307336696e-16,4,4,3.4775069871862057,371.04999999999995,0.15460416666666665,0.15987018886922885,0.6002422144687327,0.17762438465410407,False,0.06972758117140322,0.9593851821212229
17,92620017,2400,24,100,0.49583333333333335,0.01,0.435,0.96,0.31037027909406456,1,96,4,99,0,0.99,16.294999999999995,0.5985810621804156,0.011210454564013386,4.760590027644435e-18,0.985007353756083,,4,4,3.4448298533316373,378.40000000000003,0.15766666666666668,0.16038262097134307,0.5985810621804156,0.22650274343406837,False,0.027864557409705625,0.9556050250769758
18,92620018,2400,24,100,0.5054166666666666,0.09,0.565,0.94,0.3045164258676179,9,94,6,91,0,5.640000000000005,15.389999999999997,0.5893721933161445,-0.0014264228744999025,-5.118702325088844e-18,0.9884737466101712,,4,4,3.436115303930949,386.65,0.16110416666666666,0.16314044717442747,0.5893721933161447,0.24091406482418457,False,0.07736250271293865,0.9120964559524929
19,92620019,2400,24,100,0.5258333333333334,0.02,0.595,0.9,0.30831825266684465,2,90,10,98,0,1.96,15.694999999999997,0.5934912454167354,-0.04965346865972348,-3.5497017205715586e-18,0.9818527269382928,-1.2261156673485859e-16,4,4,3.519856238426143,379.76,0.15823333333333334,0.16089501875597156,0.5934912454167354,0.44977254890932206,False,0.028586012523095002,0.8880642312227178
20,92620020,2400,24,100,0.5020833333333333,0.11,0.495,0.92,0.2969259776979509,11,92,8,89,0,7.359999999999996,16.294999999999998,0.5715018397355551,-0.014691120484871676,-2.85856145759542e-18,0.9830540004446079,,4,4,3.364317126175164,397.21,0.16550416666666665,0.16828953279544118,0.5715018397355551,0.6832643255945634,False,0.11739770628112625,0.9178690532088403
21,92620021,2400,24,100,0.5079166666666667,0.03,0.5249999999999999,0.95,0.3092625051658368,3,95,5,97,0,2.91,17.314999999999998,0.5879966512791966,0.006870648011581871,1.749813346760607e-18,0.9709678406738652,,4,4,3.4382384094359906,379.87,0.15827916666666667,0.16351218119572078,0.5879966512791966,0.4637483497971513,False,0.03255600680768501,0.9562459037251789
22,92620022,2400,24,100,0.47375,0.1,0.385,0.95,0.3193037602414789,10,95,5,90,0,4.750000000000004,13.755000000000003,0.6152882319524059,-0.0049707943717527455,1.0395605367468649e-17,0.9828493269361767,,4,4,3.4548369301693893,363.85,0.15160416666666668,0.15492074024335328,0.6152882319524059,0.027182953172766873,False,0.09716744319577254,0.9547111150975726
23,92620023,2400,24,100,0.5041666666666667,0.06,0.56,0.9,0.30926162649638317,6,90,10,94,0,5.64,15.075,0.5928848029541816,-0.01259529955066429,6.037552735241847e-19,0.9791312456940509,3.1323372585638166e-16,4,4,3.446133313963244,379.98,0.15832500000000002,0.16207098650253807,0.5928848029541817,0.42468202441249864,False,0.07536062200441834,0.9347607851640408
24,92620024,2400,24,100,0.5033333333333333,0.05,0.465,0.97,0.31131790918562674,5,97,3,95,0,2.910000000000003,17.159999999999997,0.5999643167273178,0.018232450187831876,-1.8916645740440397e-18,0.9842906782346101,,4,4,3.4711811162888635,377.06,0.15710833333333332,0.15992049121022436,0.5999643167273178,0.49596879490859247,False,0.0793609757043931,0.9356007930228973
25,92620025,2400,24,100,0.5033333333333333,0.05,0.54,0.96,0.30485444376629645,5,96,4,95,0,3.8400000000000034,18.71,0.5837270849367098,0.011437716090062987,2.1493274650939463e-18,0.9779561249944462,,4,4,3.4102345974848713,386.22,0.160925,0.16477564355305085,0.5837270849367098,0.5050724440624108,True,0.05029816466219469,0.9601169397472189
26,92620026,2400,24,100,0.50375,0.04,0.53,0.93,0.3091054765806875,4,93,7,96,0,3.84,14.435000000000002,0.5938453172253114,-0.010133548762974148,9.820414465188437e-19,0.981219405762787,,4,4,3.4483899124549673,380.21000000000004,0.15842083333333334,0.1618021607162379,0.5938453172253114,0.10984412285436397,False,0.059284726492802135,0.9266958947059587
27,92620027,2400,24,100,0.50875,0.03,0.605,0.91,0.3175081306730243,3,91,9,97,0,2.91,14.435000000000002,0.6145263421932071,-0.03044783938811983,-3.93646905605942e-18,0.9883957028561368,,4,4,3.54642855229762,367.95,0.1533125,0.15530999769917136,0.6145263421932071,0.30559824986859885,False,0.06752262951144478,0.9085252126268247
28,92620028,2400,24,100,0.5120833333333333,0.07,0.52,0.91,0.326988620552787,7,91,9,93,0,6.510000000000001,13.094999999999999,0.6303671470192076,0.0023601302743724516,-5.856305810346842e-19,0.984341469165699,,4,4,3.620588140270086,353.73,0.1473875,0.15056993402434354,0.6303671470192076,0.41916225630798526,False,0.0847395739810993,0.9044129336874984
29,92620029,2400,24,100,0.48583333333333334,0.07,0.42000000000000004,0.95,0.3050576091946179,7,95,5,93,0,4.750000000000004,17.7,0.5899789171389597,-0.023086191576603052,-8.044341490845933e-18,0.9873973250782729,,4,4,3.3883046520934634,385.48,0.16061666666666669,0.16271724553599964,0.5899789171389597,0.1628901740436987,False,0.06092658492468981,0.9414270359610638
30,92620030,2400,24,100,0.47125,0.13,0.315,0.99,0.31416296657183734,13,99,1,87,0,0.9900000000000009,15.39,0.6025486298235485,0.010054498266806171,-8.259609564636973e-19,0.9779793586956913,,4,4,3.399178246318286,371.01,0.1545875,0.1586821307913758,0.6025486298235485,0.2844197644986786,False,0.13540514454645777,0.9753455928010825
