model_id,n,n_self,self_prop,y_mean,X_mean,context_mean,n_control,both_levels,self_within_ss,rep,seed
11,100,57,0.57,0.66,0.10481718779861993,-0.11320386457207757,43,True,24.509999999999998,4,92620004
12,100,5,0.05,0.59,-1.086122872696512,-0.11320386457207757,95,True,4.75,4,92620004
13,100,63,0.63,0.61,0.24574708734219364,-0.11320386457207757,37,True,23.31,4,92620004
14,100,56,0.56,0.64,0.09091957434850606,-0.11320386457207757,44,True,24.64,4,92620004
15,100,19,0.19,0.61,-0.6261996004522352,-0.11320386457207757,81,True,15.39,4,92620004
16,100,83,0.83,0.67,1.0470470987249314,-0.11320386457207757,17,True,14.110000000000003,4,92620004
17,100,20,0.2,0.61,-0.5090918235898698,-0.11320386457207757,80,True,16.0,4,92620004
18,100,93,0.93,0.67,0.8453234008359286,-0.11320386457207757,7,True,6.509999999999995,4,92620004
19,100,69,0.69,0.63,0.43052043787706573,-0.11320386457207757,31,True,21.390000000000004,4,92620004
20,100,28,0.28,0.63,-0.30256322585400675,-0.11320386457207757,72,True,20.16,4,92620004
21,100,4,0.04,0.58,-1.031184008867882,-0.11320386457207757,96,True,3.84,4,92620004
22,100,79,0.79,0.65,0.27563071732522637,-0.11320386457207757,21,True,16.589999999999996,4,92620004
23,100,13,0.13,0.65,-0.6379713419171136,-0.11320386457207757,87,True,11.31,4,92620004
0,100,8,0.08,0.55,-1.5685915850897683,0.03251452627122995,92,True,7.36,5,92620005
1,100,89,0.89,0.72,1.3849383912198459,0.03251452627122995,11,True,9.79,5,92620005
2,100,16,0.16,0.54,-1.2817462521764327,0.03251452627122995,84,True,13.44,5,92620005
3,100,79,0.79,0.61,0.9536806039899003,0.03251452627122995,21,True,16.589999999999996,5,92620005
4,100,12,0.12,0.51,-1.1142511181821444,0.03251452627122995,88,True,10.56,5,92620005
5,100,88,0.88,0.63,1.18133082114295,0.03251452627122995,12,True,10.559999999999999,5,92620005
6,100,13,0.13,0.63,-1.1639675874009736,0.03251452627122995,87,True,11.31,5,92620005
7,100,73,0.73,0.7,0.5494196849470416,0.03251452627122995,27,True,19.71,5,92620005
8,100,72,0.72,0.72,0.5143434899085122,0.03251452627122995,28,True,20.160000000000004,5,92620005
9,100,91,0.91,0.75,1.2499567972219445,0.03251452627122995,9,True,8.189999999999998,5,92620005
10,100,24,0.24,0.61,-0.8651329975343584,0.03251452627122995,76,True,18.240000000000002,5,92620005
11,100,82,0.82,0.67,1.3425176226838114,0.03251452627122995,18,True,14.760000000000003,5,92620005
12,100,15,0.15,0.55,-1.1104220214627407,0.03251452627122995,85,True,12.75,5,92620005
13,100,63,0.63,0.67,0.5075220011861497,0.03251452627122995,37,True,23.31,5,92620005
14,100,53,0.53,0.63,-0.024925365575420244,0.03251452627122995,47,True,24.91,5,92620005
15,100,30,0.3,0.58,-0.7809143733083362,0.03251452627122995,70,True,21.0,5,92620005
16,100,80,0.8,0.69,0.9396415726933097,0.03251452627122995,20,True,15.999999999999996,5,92620005
17,100,74,0.74,0.66,1.034973163949294,0.03251452627122995,26,True,19.240000000000002,5,92620005
18,100,18,0.18,0.61,-1.1979181489555923,0.03251452627122995,82,True,14.760000000000002,5,92620005
19,100,8,0.08,0.57,-1.4789042921187985,0.03251452627122995,92,True,7.36,5,92620005
20,100,40,0.4,0.64,-0.1646437528146656,0.03251452627122995,60,True,24.0,5,92620005
21,100,40,0.4,0.63,-0.36837693675573746,0.03251452627122995,60,True,24.0,5,92620005
22,100,54,0.54,0.7,0.22742601512430838,0.03251452627122995,46,True,24.839999999999996,5,92620005
23,100,86,0.86,0.75,1.234044267307878,0.03251452627122995,14,True,12.040000000000001,5,92620005
0,100,83,0.83,0.72,1.022589962444071,0.025504976457276854,17,True,14.110000000000003,6,92620006
1,100,17,0.17,0.61,-0.7966433040193638,0.025504976457276854,83,True,14.11,6,92620006
2,100,34,0.34,0.54,-0.42114238333074816,0.025504976457276854,66,True,22.439999999999998,6,92620006
3,100,11,0.11,0.59,-1.4900121177023973,0.025504976457276854,89,True,9.790000000000001,6,92620006
4,100,48,0.48,0.7,0.0038777060983061773,0.025504976457276854,52,True,24.96,6,92620006
5,100,90,0.9,0.79,1.1857704633685575,0.025504976457276854,10,True,8.999999999999998,6,92620006
6,100,46,0.46,0.58,-0.12080811439163774,0.025504976457276854,54,True,24.840000000000003,6,92620006
7,100,66,0.66,0.59,0.3896708535714861,0.025504976457276854,34,True,22.439999999999998,6,92620006
8,100,71,0.71,0.7,0.7281278564609027,0.025504976457276854,29,True,20.590000000000003,6,92620006
9,100,86,0.86,0.75,0.7845113591110559,0.025504976457276854,14,True,12.040000000000001,6,92620006
10,100,88,0.88,0.72,1.3751863287562855,0.025504976457276854,12,True,10.559999999999999,6,92620006
11,100,20,0.2,0.63,-0.8069583253574438,0.025504976457276854,80,True,16.0,6,92620006
12,100,22,0.22,0.7,-0.531858238853367,0.025504976457276854,78,True,17.16,6,92620006
13,100,11,0.11,0.56,-1.1298465919971417,0.025504976457276854,89,True,9.790000000000001,6,92620006
14,100,74,0.74,0.59,0.7664117572072994,0.025504976457276854,26,True,19.240000000000002,6,92620006
15,100,16,0.16,0.6,-1.0752610071633768,0.025504976457276854,84,True,13.44,6,92620006
16,100,16,0.16,0.65,-0.8122078273151168,0.025504976457276854,84,True,13.44,6,92620006
17,100,75,0.75,0.53,0.4758800322510712,0.025504976457276854,25,True,18.75,6,92620006
18,100,72,0.72,0.64,0.7372636083121319,0.025504976457276854,28,True,20.160000000000004,6,92620006
19,100,23,0.23,0.61,-0.5370480237169204,0.025504976457276854,77,True,17.71,6,92620006
20,100,68,0.68,0.74,0.37786196770667857,0.025504976457276854,32,True,21.759999999999998,6,92620006
21,100,40,0.4,0.73,-0.0900805768978099,0.025504976457276854,60,True,24.0,6,92620006
22,100,14,0.14,0.6,-1.398105700874268,0.025504976457276854,86,True,12.040000000000001,6,92620006
23,100,91,0.91,0.65,1.3628203163317423,0.025504976457276854,9,True,8.189999999999998,6,92620006
0,100,76,0.76,0.66,0.7039999693012237,-0.22814338033639184,24,True,18.24,7,92620007
1,100,38,0.38,0.62,-0.23460903313607062,-0.22814338033639184,62,True,23.56,7,92620007
2,100,88,0.88,0.66,1.0564611003945235,-0.22814338033639184,12,True,10.559999999999999,7,92620007
3,100,71,0.71,0.65,0.3660021530665851,-0.22814338033639184,29,True,20.590000000000003,7,92620007
4,100,89,0.89,0.73,1.3368163910137536,-0.22814338033639184,11,True,9.79,7,92620007
5,100,9,0.09,0.63,-1.4793509129701727,-0.22814338033639184,91,True,8.19,7,92620007
6,100,87,0.87,0.65,1.1662852348572628,-0.22814338033639184,13,True,11.31,7,92620007
7,100,12,0.12,0.59,-1.3270426658298395,-0.22814338033639184,88,True,10.56,7,92620007
8,100,57,0.57,0.57,0.3510866067124212,-0.22814338033639184,43,True,24.509999999999998,7,92620007
9,100,2,0.02,0.57,-1.4614025218016276,-0.22814338033639184,98,True,1.96,7,92620007
10,100,11,0.11,0.65,-1.064420201025241,-0.22814338033639184,89,True,9.790000000000001,7,92620007
11,100,58,0.58,0.69,0.12677173854178392,-0.22814338033639184,42,True,24.36,7,92620007
12,100,21,0.21,0.67,-0.8563728962570849,-0.22814338033639184,79,True,16.59,7,92620007
13,100,44,0.44,0.66,-0.15226783620459372,-0.22814338033639184,56,True,24.64,7,92620007
14,100,82,0.82,0.7,0.902704385697426,-0.22814338033639184,18,True,14.760000000000003,7,92620007
15,100,94,0.94,0.68,1.1871225943733936,-0.22814338033639184,6,True,5.640000000000005,7,92620007
16,100,24,0.24,0.54,-0.8349940927564089,-0.22814338033639184,76,True,18.240000000000002,7,92620007
17,100,83,0.83,0.68,0.7670701364821362,-0.22814338033639184,17,True,14.110000000000003,7,92620007
18,100,51,0.51,0.59,0.18686356770527013,-0.22814338033639184,49,True,24.99,7,92620007
19,100,83,0.83,0.64,0.8543556705714543,-0.22814338033639184,17,True,14.110000000000003,7,92620007
20,100,15,0.15,0.59,-0.9097320183589552,-0.22814338033639184,85,True,12.75,7,92620007
21,100,23,0.23,0.6,-0.9058043254351259,-0.22814338033639184,77,True,17.71,7,92620007
22,100,40,0.4,0.64,-0.30118967839788624,-0.22814338033639184,60,True,24.0,7,92620007
23,100,69,0.69,0.7,0.5216466334557701,-0.22814338033639184,31,True,21.390000000000004,7,92620007
0,100,95,0.95,0.77,0.9420169387610838,-0.20236472704900593,5,True,4.750000000000004,8,92620008
1,100,39,0.39,0.66,-0.351018064106265,-0.20236472704900593,61,True,23.79,8,92620008
2,100,6,0.06,0.57,-1.0866752352891726,-0.20236472704900593,94,True,5.64,8,92620008
3,100,85,0.85,0.7,0.9061358854833034,-0.20236472704900593,15,True,12.750000000000002,8,92620008
4,100,18,0.18,0.68,-0.7827229346174834,-0.20236472704900593,82,True,14.760000000000002,8,92620008
5,100,75,0.75,0.72,0.7106989209018283,-0.20236472704900593,25,True,18.75,8,92620008
6,100,19,0.19,0.62,-0.873200236570918,-0.20236472704900593,81,True,15.39,8,92620008
7,100,11,0.11,0.59,-1.212078616695507,-0.20236472704900593,89,True,9.790000000000001,8,92620008
8,100,85,0.85,0.75,0.8130958160918612,-0.20236472704900593,15,True,12.750000000000002,8,92620008
