rep,seed,cell,fit_spec,n_models,n_items,n_obs,true_rho,true_effect,true_slope_sd,true_tau_model,true_tau_item,dataset_sha256,realized_corr,overall_self_prop,min_model_n_self,min_model_n_control,min_model_self_prop,max_model_self_prop,median_model_self_prop,corr_model_selfprop_X,min_within_self_ss,median_within_self_ss,total_within_self_ss,rho_model_realized,p_min,p_max,pct_outcome_p_below_05,pct_outcome_p_above_95,fit_error,r_fit_spec,converged,singular,warnings,estimate,se,p_value,ci_low,ci_high,rejected_at_05,bias,ci_covers_truth,model_intercept_sd,model_slope_sd,model_intercept_slope_corr,item_intercept_sd,model_cov_min_eigenvalue,theta,theta_lower,singular_component,slope_zero,model_intercept_zero,item_intercept_zero,corr_boundary
3,92623003,P6_C_HIGH_RHO0,M1,100,400,40000,0.0,0.1,0.02,0.03,0.03,7280bb3a4d6da7b70adb65e9d360ece382992204a6c8e352604ea31414d8cb5a,-1.8004937933724414e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,10000.0,0.14175266135928127,0.5197025896580953,0.735453743817336,0.0,0.0,,M1,True,False,[],0.0999,0.0217,4.1001e-06,0.0574,0.1424,True,-0.0001,True,0.0474,0.0608,0.1597,0.0493,0.0021,"[0.0493, 0.0474, 0.0097, 0.06]","[0, 0, '-Inf', 0]",non_singular,False,False,False,False
3,92623003,P6_C_HIGH_RHO0,M2,100,400,40000,0.0,0.1,0.02,0.03,0.03,7280bb3a4d6da7b70adb65e9d360ece382992204a6c8e352604ea31414d8cb5a,-1.8004937933724414e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,10000.0,0.14175266135928127,0.5197025896580953,0.735453743817336,0.0,0.0,,M2,True,False,[],0.0998,0.0218,4.7457e-06,0.0571,0.1426,True,-0.0002,True,0.0504,0.0655,NA,0.0494,0.0025,"[0.0494, 0.0504, 0.0655]","[0, 0, 0]",non_singular,False,False,False,False
3,92623003,P6_D_HIGH_RHO30,M1,100,400,40000,0.3,0.1,0.02,0.03,0.03,f7c0ad2a22c9baa654f9ee20e6dd9a5b1e5d155b4ed99dfc17863093a6a479ff,-1.8004937933724414e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,10000.0,0.44213187549285776,0.5197025896580953,0.7371210295102731,0.0,0.0,,M1,True,False,[],0.1019,0.0218,2.7827e-06,0.0593,0.1446,True,0.0019,True,0.0475,0.0631,0.2452,0.0501,0.002,"[0.0501, 0.0475, 0.0155, 0.0612]","[0, 0, '-Inf', 0]",non_singular,False,False,False,False
3,92623003,P6_D_HIGH_RHO30,M2,100,400,40000,0.3,0.1,0.02,0.03,0.03,f7c0ad2a22c9baa654f9ee20e6dd9a5b1e5d155b4ed99dfc17863093a6a479ff,-1.8004937933724414e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,10000.0,0.44213187549285776,0.5197025896580953,0.7371210295102731,0.0,0.0,,M2,True,False,[],0.1019,0.022,3.5276e-06,0.0588,0.1449,True,0.0019,True,0.0521,0.0701,NA,0.0501,0.0027,"[0.0501, 0.0521, 0.0701]","[0, 0, 0]",non_singular,False,False,False,False
4,92623004,P6_A_LOW_RHO0,M1,24,100,2400,0.0,0.1,0.02,0.03,0.03,ced64499fb789fef05341c1f115549ed4f59909d041a4b1b6ff39eb72107ef25,-8.449343180861034e-19,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,600.0,0.12294582542446425,0.5275875050314717,0.7305220212690274,0.0,0.0,,M1,True,False,[],0.2498,0.0915,0.0063,0.0706,0.4291,True,0.1498,True,0.0333,0.1623,-0.754,0.1053,0.0005,"[0.1053, 0.0333, -0.1224, 0.1066]","[0, 0, '-Inf', 0]",non_singular,False,False,False,False
4,92623004,P6_A_LOW_RHO0,M2,24,100,2400,0.0,0.1,0.02,0.03,0.03,ced64499fb789fef05341c1f115549ed4f59909d041a4b1b6ff39eb72107ef25,-8.449343180861034e-19,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,600.0,0.12294582542446425,0.5275875050314717,0.7305220212690274,0.0,0.0,,M2,True,True,boundary (singular) fit: see help('isSingular'),0.25,0.0895,0.0052,0.0746,0.4254,True,0.15,True,0.0,0.139,NA,0.106,0.0,"[0.106, 0, 0.139]","[0, 0, 0]",model_intercept_sd_zero,False,True,False,False
4,92623004,P6_B_LOW_RHO30,M1,24,100,2400,0.3,0.1,0.02,0.03,0.03,27a35221885fd6c6e659345ffcffff318277d0503df611de98ff6ca8d08b67d4,-8.449343180861034e-19,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,600.0,0.4216329309827165,0.5275875050314717,0.7304684265822384,0.0,0.0,,M1,True,False,[],0.2466,0.0914,0.007,0.0675,0.4258,True,0.1466,True,0.0333,0.1612,-0.5354,0.117,0.0008,"[0.117, 0.0333, -0.0863, 0.1362]","[0, 0, '-Inf', 0]",non_singular,False,False,False,False
4,92623004,P6_B_LOW_RHO30,M2,24,100,2400,0.3,0.1,0.02,0.03,0.03,27a35221885fd6c6e659345ffcffff318277d0503df611de98ff6ca8d08b67d4,-8.449343180861034e-19,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,600.0,0.4216329309827165,0.5275875050314717,0.7304684265822384,0.0,0.0,,M2,True,True,boundary (singular) fit: see help('isSingular'),0.2468,0.09,0.0061,0.0704,0.4231,True,0.1468,True,0.0,0.1461,NA,0.1174,0.0,"[0.1174, 0, 0.1461]","[0, 0, 0]",model_intercept_sd_zero,False,True,False,False
4,92623004,P6_C_HIGH_RHO0,M1,100,400,40000,0.0,0.1,0.02,0.03,0.03,9b4df5964a50553a17b331c283c7a267ca657def0a395898bd44ca695f960907,-1.0507956907335214e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,10000.0,0.010450553866869206,0.5248535923373628,0.7314296819827546,0.0,0.0,,M1,True,True,[],0.0875,0.021,0.0,0.0463,0.1287,True,-0.0125,True,0.0349,0.026,-1,0.055,-5.421e-20,"[0.055, 0.0349, -0.026, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,False,False,False,True
4,92623004,P6_C_HIGH_RHO0,M2,100,400,40000,0.0,0.1,0.02,0.03,0.03,9b4df5964a50553a17b331c283c7a267ca657def0a395898bd44ca695f960907,-1.0507956907335214e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,10000.0,0.010450553866869206,0.5248535923373628,0.7314296819827546,0.0,0.0,,M2,True,True,[],0.0876,0.0209,0.0,0.0468,0.1285,True,-0.0124,True,0.002,6.2511e-07,NA,0.0549,3.9076e-13,"[0.0549, 0.002, 6.2511e-07]","[0, 0, 0]",model_slope_sd_zero,True,False,False,False
4,92623004,P6_D_HIGH_RHO30,M1,100,400,40000,0.3,0.1,0.02,0.03,0.03,531740b88c2a83d17a7990f18bd3924f8caf2304577fdfa47643e7dfa8c26627,-1.0507956907335214e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,10000.0,0.3177653219876832,0.5248535923373628,0.7313762014352047,0.0,0.0,,M1,True,True,[],0.0886,0.021,0.0,0.0474,0.1298,True,-0.0114,True,0.0359,0.0262,-1,0.0541,0.0,"[0.0541, 0.0359, -0.0262, 0]","[0, 0, '-Inf', 0]",model_corr_boundary,False,False,False,True
4,92623004,P6_D_HIGH_RHO30,M2,100,400,40000,0.3,0.1,0.02,0.03,0.03,531740b88c2a83d17a7990f18bd3924f8caf2304577fdfa47643e7dfa8c26627,-1.0507956907335214e-19,0.5,200,200,0.5,0.5,0.5,,100.0,100.0,10000.0,0.3177653219876832,0.5248535923373628,0.7313762014352047,0.0,0.0,,M2,True,True,[],0.0887,0.0209,0.0,0.0479,0.1296,True,-0.0113,True,0.0,0.0,NA,0.0541,0.0,"[0.0541, 0, 0]","[0, 0, 0]",model_slope_sd_zero,True,True,False,False
5,92623005,P6_A_LOW_RHO0,M1,24,100,2400,0.0,0.1,0.02,0.03,0.03,3f1b6ef95ebfbfbc8f70b3cff1bf1ef461788894151b3e3cc7f8ef40679a4b4e,1.6897611617047667e-18,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,600.0,0.026333812074516343,0.5349504664536479,0.7254921076596762,0.0,0.0,,M1,True,True,boundary (singular) fit: see help('isSingular'),-0.0933,0.0877,0.287,-0.2652,0.0785,False,-0.1933,False,0.0,0.0878,NaN,0.117,0.0,"[0.117, 0, 0.0878, 0.0004]","[0, 0, '-Inf', 0]",model_intercept_sd_zero,False,True,False,False
5,92623005,P6_A_LOW_RHO0,M2,24,100,2400,0.0,0.1,0.02,0.03,0.03,3f1b6ef95ebfbfbc8f70b3cff1bf1ef461788894151b3e3cc7f8ef40679a4b4e,1.6897611617047667e-18,0.5,50,50,0.5,0.5,0.5,,25.0,25.0,600.0,0.026333812074516343,0.5349504664536479,0.7254921076596762,0.0,0.0,,M2,True,True,boundary (singular) fit: see help('isSingular'),-0.0933,0.0877,0.287,-0.2652,0.0785,False,-0.1933,False,0.0,0.0878,NA,0.117,0.0,"[0.117, 0, 0.0878]","[0, 0, 0]",model_intercept_sd_zero,False,True,False,False
