rep,seed,cell,n_models,n_items,true_rho,singular_M1,singular_M2,converged_M1,converged_M2,estimate_M1,estimate_M2,se_M1,se_M2,bias_M1,bias_M2,model_intercept_sd_M1,model_intercept_sd_M2,model_slope_sd_M1,model_slope_sd_M2,item_intercept_sd_M1,item_intercept_sd_M2,model_intercept_slope_corr_M1,model_intercept_slope_corr_M2,model_cov_min_eigenvalue_M1,model_cov_min_eigenvalue_M2,slope_zero_M1,slope_zero_M2,model_intercept_zero_M1,model_intercept_zero_M2,item_intercept_zero_M1,item_intercept_zero_M2,corr_boundary_M1,corr_boundary_M2,singularity_transition,estimate_difference_M2_minus_M1,se_difference_M2_minus_M1
8,92623008,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,0.209,0.2096,0.0858,0.0853,0.109,0.1096,0.0895,0.0495,0.0446,0.0,0.0,0.0,-1,NA,0.0,0.0,False,True,False,False,True,True,True,False,both_singular,0.0006000000000000172,-0.0005000000000000004
8,92623008,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,0.2052,0.2058,0.0858,0.0853,0.1052,0.1058,0.0913,0.0559,0.0432,0.0,0.0,0.0,-1,NA,4.3368e-19,0.0,False,True,False,False,True,True,True,False,both_singular,0.0006000000000000172,-0.0005000000000000004
8,92623008,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.1334,0.1339,0.0227,0.0209,0.0334,0.0339,0.0681,0.0,0.0883,0.0,0.0691,0.0694,-1,NA,5.4205e-13,0.0,False,True,False,True,False,False,True,False,both_singular,0.0005000000000000004,-0.001800000000000003
8,92623008,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.1345,0.135,0.0226,0.0209,0.0345,0.035,0.0676,0.0,0.0875,0.0,0.0702,0.0705,-1,NA,0.0,0.0,False,True,False,True,False,False,True,False,both_singular,0.0005000000000000004,-0.0017000000000000001
9,92623009,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,0.076,0.0774,0.0947,0.0856,-0.024,-0.0226,0.1519,0.012,0.1982,3.6862e-09,0.0,1.731e-22,-1,NA,0.0,1.3588e-17,False,True,False,False,True,True,True,False,both_singular,0.0013999999999999985,-0.00910000000000001
9,92623009,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,0.0851,0.0849,0.0858,0.0857,-0.0149,-0.0151,0.0,0.0385,0.026,0.0,0.0,2.7898e-07,NaN,NA,0.0,6.9927e-10,False,True,True,False,True,True,False,False,both_singular,-0.00019999999999999185,-0.00010000000000000286
9,92623009,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.0946,0.0946,0.0211,0.021,-0.0054,-0.0054,0.0092,3.2605e-07,0.0382,0.0268,0.0,0.0,-1,NA,1.9667e-11,1.0631e-13,False,False,False,True,True,True,True,False,both_singular,0.0,-9.99999999999994e-05
9,92623009,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.0976,0.0976,0.0209,0.0209,-0.0024,-0.0024,0.0007,0.0,0.0245,0.0238,0.0,0.0,-0.9998,NA,1.9356e-10,0.0,False,False,False,True,True,True,True,False,both_singular,0.0,0.0
10,92623010,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,0.0512,0.0539,0.088,0.0846,-0.0488,-0.0461,0.1511,0.0816,0.1173,0.0,0.1111,0.1114,-1,NA,0.0,0.0,False,True,False,False,False,False,True,False,both_singular,0.002700000000000001,-0.0034000000000000002
10,92623010,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,0.0476,0.0503,0.0876,0.0847,-0.0524,-0.0497,0.1521,0.0888,0.1091,0.0,0.1178,0.1179,-1,NA,-3.4694e-18,0.0,False,True,False,False,False,False,True,False,both_singular,0.002699999999999994,-0.0029
10,92623010,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.0969,0.0969,0.0219,0.0219,-0.0031,-0.0031,0.0,0.0,0.069,0.069,0.0,0.0,NaN,NA,0.0,6.2461e-10,False,False,True,True,True,True,False,False,both_singular,0.0,0.0
10,92623010,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.0971,0.0971,0.0219,0.0219,-0.0029,-0.0029,0.0,0.0,0.0692,0.0692,0.0,0.0,NaN,NA,0.0,2.2699e-10,False,False,True,True,True,True,False,False,both_singular,0.0,0.0
11,92623011,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,-0.0241,-0.0241,0.0896,0.0896,-0.1241,-0.1241,0.0,5.8159e-07,0.1322,0.1322,0.0,0.0,NaN,NA,0.0,3.3825e-13,False,False,True,True,True,True,False,False,both_singular,0.0,0.0
11,92623011,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,-0.0162,-0.0162,0.0888,0.0902,-0.1162,-0.1162,0.0267,0.0,0.1183,0.1422,0.0,0.0,1,NA,0.0,0.0,False,False,False,True,True,True,True,False,both_singular,0.0,0.0013999999999999985
11,92623011,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.0744,0.0744,0.021,0.021,-0.0256,-0.0256,0.0,2.0703e-07,0.028,0.028,0.0,2.9527e-07,NaN,NA,0.0,4.2863e-14,False,False,True,True,True,True,False,False,both_singular,0.0,0.0
11,92623011,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.0769,0.0769,0.0212,0.0212,-0.0231,-0.0231,0.0,0.0,0.038,0.038,0.0,0.0,NaN,NA,0.0,0.0,False,False,True,True,True,True,False,False,both_singular,0.0,0.0
12,92623012,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,-0.0326,-0.0326,0.0844,0.0844,-0.1326,-0.1326,0.0435,0.0433,0.0004,0.0,0.0998,0.0998,-1,NA,0.0,0.0,False,True,False,False,False,False,True,False,both_singular,0.0,0.0
12,92623012,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,-0.0361,-0.0361,0.0844,0.0844,-0.1361,-0.1361,0.0483,0.049,0.0014,0.0,0.0992,0.0992,1,NA,5.9006e-15,0.0,False,True,False,False,False,False,True,False,both_singular,0.0,0.0
12,92623012,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.1003,0.1003,0.022,0.0213,0.0003,0.0003,0.0176,0.0,0.0708,0.0483,0.0,0.0,-1,NA,5.421e-20,0.0,False,False,False,True,True,True,True,False,both_singular,0.0,-0.0006999999999999992
12,92623012,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.0985,0.0985,0.0218,0.0213,-0.0015,-0.0015,0.0167,0.0,0.0671,0.0453,0.0,0.0,-1,NA,1.0842e-19,0.0,False,False,False,True,True,True,True,False,both_singular,0.0,-0.0005000000000000004
13,92623013,P6_A_LOW_RHO0,24,100,0.0,False,False,True,True,0.2722,0.2733,0.0974,0.0921,0.1722,0.1733,0.1332,0.082,0.2214,0.1586,0.1059,0.109,-0.6125,NA,0.0095,0.0067,False,False,False,False,False,False,False,False,both_nonsingular,0.0010999999999999899,-0.005299999999999999
13,92623013,P6_B_LOW_RHO30,24,100,0.3,False,False,True,True,0.2714,0.2724,0.0952,0.091,0.1714,0.1724,0.1324,0.0932,0.1972,0.1434,0.0993,0.1019,-0.5429,NA,0.0105,0.0087,False,False,False,False,False,False,False,False,both_nonsingular,0.0010000000000000009,-0.004200000000000009
13,92623013,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.1321,0.1322,0.0223,0.0208,0.0321,0.0322,0.0525,2.6995e-07,0.0784,0.0,0.0,0.0324,-1,NA,2.1684e-19,0.0,False,True,False,True,True,False,True,False,both_singular,0.00010000000000001674,-0.0015000000000000013
13,92623013,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.1303,0.1304,0.0221,0.0208,0.0303,0.0304,0.0504,0.0,0.0734,0.0,0.0376,0.0379,-1,NA,0.0,0.0,False,True,False,True,False,False,True,False,both_singular,9.999999999998899e-05,-0.0013000000000000025
14,92623014,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,0.1796,0.1794,0.0859,0.0865,0.0796,0.0794,0.0229,0.0,0.0851,0.0976,0.0,0.0,1,NA,1.0428e-11,0.0,False,False,False,True,True,True,True,False,both_singular,-0.00020000000000000573,0.0005999999999999894
14,92623014,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,0.1831,0.1829,0.0857,0.0862,0.0831,0.0829,0.0226,0.0,0.0802,0.091,0.0,0.0,1,NA,-5.421e-20,0.0,False,False,False,True,True,True,True,False,both_singular,-0.00020000000000000573,0.0005000000000000004
14,92623014,P6_C_HIGH_RHO0,100,400,0.0,True,True,True,True,0.1251,0.1252,0.0224,0.0219,0.0251,0.0252,0.0136,0.0,0.0829,0.0691,0.0,0.0,-1,NA,6.017e-10,0.0,False,False,False,True,True,True,True,False,both_singular,0.00010000000000001674,-0.0005000000000000004
14,92623014,P6_D_HIGH_RHO30,100,400,0.3,True,True,True,True,0.1251,0.1251,0.0223,0.0219,0.0251,0.0251,0.0123,0.0,0.0804,0.0679,6.7332e-07,0.0,-1,NA,7.8735e-10,0.0,False,False,False,True,True,True,True,False,both_singular,0.0,-0.00040000000000000105
15,92623015,P6_A_LOW_RHO0,24,100,0.0,True,True,True,True,0.0193,0.0178,0.0876,0.0855,-0.0807,-0.0822,0.0,0.1591,0.0972,0.0,0.0,0.0,NaN,NA,0.0,0.0,False,True,True,False,True,True,False,False,both_singular,-0.0015000000000000013,-0.0020999999999999908
15,92623015,P6_B_LOW_RHO30,24,100,0.3,True,True,True,True,0.0195,0.0178,0.0881,0.0855,-0.0805,-0.0822,0.0,0.1605,0.1063,0.0,0.0,0.0,NaN,NA,0.0,0.0,False,True,True,False,True,True,False,False,both_singular,-0.0017000000000000001,-0.002599999999999991
15,92623015,P6_C_HIGH_RHO0,100,400,0.0,False,False,True,True,0.0739,0.0743,0.0232,0.0213,-0.0261,-0.0257,0.0833,0.0511,0.1019,0.0479,0.0295,0.0288,-0.7653,NA,0.0019,0.0023,False,False,False,False,False,False,False,False,both_nonsingular,0.00040000000000001146,-0.001899999999999999
